Height,Weight
241.8935632,73.84701702
162.3104725,68.78190405
212.7408556,74.11010539
220.0424703,71.7309784
206.3498006,69.88179586
152.2121558,67.25301569
183.9278886,68.78508125
167.9711105,68.34851551
175.9294404,67.01894966
156.3996764,63.45649398
186.6049256,71.19538228
213.7411695,71.64080512
167.1274611,64.76632913
189.4461814,69.2830701
186.434168,69.24373223
172.1869301,67.6456197
196.0285063,72.41831663
172.8834702,63.97432572
185.9839576,69.6400599
182.426648,67.93600485
174.1159291,67.91505019
197.7314216,69.43943987
149.173566,66.14913196
228.7617806,75.20597361
162.0066518,67.89319634
192.3439766,68.1440328
184.4351744,69.08963143
206.8281894,72.80084352
175.2139224,67.42124228
154.3426389,68.49641536
187.5068432,68.61811055
212.9102253,74.03380762
195.0322432,71.52821604
205.1836213,69.1801611
204.1641255,69.57720237
192.9035151,70.40092889
197.4882426,69.07617117
183.8109732,67.19352328
163.8518249,65.80731565
163.1080171,64.30418789
172.1355974,67.97433623
194.0454049,72.18942596
168.6177462,65.27034552
161.1934326,66.09017738
164.6602773,67.51032152
188.9223032,70.10478626
187.0605522,68.25183644
209.0708634,72.17270912
192.0143354,69.17985762
211.3424968,72.87036015
165.6116262,64.78258298
201.0719181,70.18354989
173.4239603,68.49145025
181.4076793,67.33083088
169.7377074,66.99094408
163.3095283,66.4995499
189.7102099,68.35305665
192.1248473,70.77445907
198.1984641,71.21592367
209.5264998,70.01336535
198.7597927,71.40318222
198.0795237,69.55200509
195.2906122,73.81853456
164.943303,66.99688275
179.8639023,71.41846589
155.2504207,65.27930021
184.5193912,68.27419147
220.6780415,72.76536995
183.3126553,68.0993798
196.4513123,68.89670607
184.5956083,69.28950996
207.5328385,70.52322452
177.2009288,69.66372523
163.1080022,67.59526881
216.2182301,72.50812038
204.6554938,71.2529856
200.9205712,71.80918689
220.9017699,72.24516548
196.4498603,66.51262766
168.64081,66.029034
181.432713,67.57715394
198.6586733,68.2465686
237.9167359,73.826127
173.0412559,69.80246436
160.6839166,65.95957778
188.6029191,71.07901758
208.345694,66.59619654
193.4351185,68.95153509
174.1096938,68.24446179
197.3685892,72.31682512
201.6206667,71.81542045
181.0119732,65.23704952
182.122486,70.64053009
177.5492634,64.7319256
164.9745807,67.10355118
165.7171122,65.11748489
193.0941635,71.70123402
180.683887,66.83287821
172.7737229,66.47127526
177.4706162,69.41152622
200.8187373,70.05217747
167.7397753,66.74360465
154.3956248,66.27432912
177.9847286,68.32844799
183.938857,70.0758882
179.2047821,68.73298815
158.5679874,67.55605126
166.5035316,66.25363253
171.9836776,69.18220268
174.3641824,67.60910494
187.7453519,69.29273802
201.4879624,68.19068401
204.9270121,71.6070858
178.6855465,69.19685751
164.0144277,67.26196098
223.2700044,73.6851934
202.9583063,69.53721501
189.3917856,68.31155984
178.1705556,67.73896347
223.2993352,71.7057626
167.0287067,63.6322646
180.468682,68.72119846
164.4391456,66.94934165
149.9696184,62.70698974
192.9102666,72.25840892
201.8839987,70.90865306
179.868026,67.6098436
196.4677247,70.80155896
187.5516495,69.30476905
171.6931597,66.24289834
191.6996048,67.49219298
165.8506478,65.80624829
185.6627413,71.44370566
178.2818007,68.46440582
150.9790513,63.9879246
209.9293234,71.00189769
174.1578043,68.13972419
179.8789771,68.39540025
167.7471412,68.09621975
183.0446604,68.14059036
169.5568208,68.86009031
173.4316727,66.14885254
180.8895546,66.20603205
183.5089329,67.43212021
205.9779102,69.47110603
183.7598452,70.51585969
201.9544955,71.33837604
216.1200947,71.00194477
159.3903237,66.20234771
210.3364247,72.54330705
178.6183502,67.47935176
146.7397976,65.35041056
195.937015,70.84406242
170.1758538,69.93847526
169.6540541,64.73981548
198.3786936,69.30840288
179.9077169,68.83846286
147.2636865,61.93732327
176.9842511,68.59333554
185.4677884,65.21857558
177.4938023,64.33364811
169.8274774,68.7489067
198.5816982,72.4896554
203.3503393,67.23393092
193.2176727,67.26360484
178.1349452,65.11850428
162.7795834,66.26282004
159.2865106,67.70167966
172.114312,65.53069597
201.8370426,69.86896981
170.3523296,68.48187536
205.3897607,72.21396335
169.7877681,68.17953269
200.4373105,71.98120654
178.588954,66.06513673
168.0140297,66.65616417
177.7664258,67.5994242
193.277624,68.24594409
162.3795406,64.80862144
183.3838244,67.49221827
181.0560953,68.18073071
210.871799,69.5533849
165.5684991,66.40224967
196.1484498,66.59215711
202.0464252,71.93588658
170.4136025,68.28704173
201.9480853,69.9554512
193.3869846,71.85112915
179.8556896,65.75549864
156.489935,67.03185208
235.0354188,76.70983486
230.560535,72.57112137
203.895655,69.7288049
218.2163966,72.799224
222.6671779,72.53935407
208.4748659,72.29474338
180.77978,67.25332482
231.9247485,75.94446038
170.5938581,66.31623192
188.2714563,71.15605349
196.0615292,71.19220229
214.6035842,72.19751201
224.1242713,75.14082143
158.5793973,64.41152936
166.5011147,64.73442436
160.1406156,63.41458714
176.1726343,67.84866523
174.4852947,65.93178483
193.9064988,70.96655044
186.9916067,67.58074728
173.5957961,68.58927044
193.3465603,70.32475344
208.436509,72.39448041
206.0329778,70.82085671
172.575231,65.90330126
232.6354028,74.79537502
177.2401455,67.68091903
175.6466902,67.15596277
212.6261023,71.77484122
166.969204,64.66523194
196.4144153,68.12276836
165.4312422,66.78692724
176.5658186,66.80584984
174.6520347,67.8860138
195.2375293,69.17357692
205.6844384,70.22492333
158.3414424,64.85579918
169.0810083,67.82109327
135.6558759,63.44024747
218.1574695,71.84843485
155.8995413,66.72807365
201.5281774,71.96830565
235.9260606,76.02134748
195.3926176,71.47610128
176.6361636,67.36980864
198.4602486,70.55524376
185.71691,69.86710128
177.3477798,67.94757004
215.7597035,74.10455886
187.0224203,69.1678363
171.5878843,66.55722857
172.8398091,66.70160499
168.2802869,67.24606495
163.8204889,69.05138548
190.0234342,70.67274718
156.8699517,65.49899512
172.6064826,65.18722085
169.063983,67.56814301
231.3745081,73.81538569
207.2504768,71.60656421
172.1527722,67.72474924
199.827758,68.23113195
168.0904122,65.92942171
197.8196148,71.54849571
196.892315,69.16438112
180.2217801,68.59765932
189.1340124,71.05751089
158.4227173,63.64405958
208.9226827,71.1824554
187.1411195,66.12867317
157.5824315,65.05737312
181.644445,68.09137436
204.7466782,70.9931439
231.1301898,74.22117488
186.2584296,69.32711818
181.0938696,64.93134219
198.9209797,68.34684231
203.3704632,70.92912508
161.0287521,61.4778092
189.8066818,68.49081272
200.2028285,72.04988987
221.8626503,72.52166703
214.0601482,71.23391139
201.7014216,72.25911519
187.1870936,67.5650399
196.5274669,72.26760699
151.7207037,62.600248
167.2975303,66.23643729
198.843696,69.65043741
178.789548,69.28592141
193.5392521,70.72527874
197.737905,68.82861496
184.4618115,66.01442823
155.1947717,66.41488206
160.9919899,66.61562439
189.0844617,68.03482178
172.9857771,70.50239804
195.8952569,69.15772949
215.7464553,70.79502261
166.7073731,65.19437712
239.4643429,74.78571432
184.2792458,71.06690628
199.9838909,69.33419779
191.4122311,69.89920395
169.1094014,64.42519379
194.7445225,67.8521307
183.2665331,67.54906949
210.3699087,74.76744684
198.0424839,71.41894599
172.6640904,67.12034439
197.0708562,69.85958791
190.50581,68.43081339
184.5554831,67.93348261
179.9298166,68.49534316
159.5032198,65.24414341
197.8845071,70.18535205
217.2696052,71.10413316
187.907426,68.44757854
176.8616842,65.42057682
185.1482021,67.70078811
223.3080403,74.22306306
206.9429818,71.16724587
171.0169406,67.23077189
175.222848,67.88055919
173.3103956,67.37637547
181.1259735,68.76124693
202.6090083,71.7052725
199.85092,69.38099479
223.5147223,73.71652763
219.2617067,69.45337621
211.2160809,70.78628981
200.798983,71.76846374
208.8097753,69.34345396
161.4200817,65.28602551
207.8359446,70.92184441
180.8312378,68.59666269
176.8154762,68.60379643
194.6037685,69.47874412
163.0084317,65.93089621
173.2706572,68.5233453
215.6200354,73.92912413
210.134529,71.19793782
185.0423241,66.55658687
187.9653554,71.74227623
188.1811248,69.74482933
179.5420171,66.75065413
211.718429,69.69242226
197.6921421,70.40351683
186.287992,69.01973611
166.1060724,64.73228716
188.81177,70.99807444
161.3787732,64.45981425
193.4762588,69.74952258
189.2822461,71.52684881
207.7849246,68.32791586
199.3230943,70.76472016
209.8582566,71.41904963
180.1754728,69.39047409
196.2144145,72.00173222
189.4388404,69.19147497
165.5146074,66.16636328
182.3943347,67.272143
189.5576375,70.9158354
189.6259141,69.11988779
170.1913254,67.40902587
216.0974547,72.93864904
177.0677744,70.4909287
196.0511888,69.00825946
167.7004962,66.76210992
179.6078701,69.12066373
220.6614051,73.12626719
164.2952413,67.4868239
156.5447863,64.95507833
183.681029,67.78248907
170.3054935,67.6623988
